Test,Parameter,Telkomsel,IOH,XL Axiata,longitude,latitude,kab/kota,Alamat,,
Speed Test,UL (Mbps),15.22,7.05,6.07,122.54011,-4.000907,Kendari,Pasar Anduonohu,,
Speed Test,Ping (ms),1.49,1.85,198,122.54011,-4.000907,Kendari,Pasar Anduonohu,,
Web Test,Loading time (ms),2.99,436,491,122.54011,-4.000907,Kendari,Pasar Anduonohu,,
Web Test,Throughput (Mbps),0.533,0.478,0.303,122.54011,-4.000907,Kendari,Pasar Anduonohu,,
Video Test,Initial Buffering (ms),501,1,1,122.54011,-4.000907,Kendari,Pasar Anduonohu,,
Video Test,Throughput (Mbps),2.15,2.09,2.11,122.54011,-4.000907,Kendari,Pasar Anduonohu,,
Speed Test,DL (Mbps),41.99,8.59,9.36,122.5367,-4.0245,Kendari,Polda Sultra,,
Speed Test,UL (Mbps),9.4,7.48,3.87,122.5367,-4.0245,Kendari,Polda Sultra,,
Speed Test,Ping (ms),1.56,175,209,122.5367,-4.0245,Kendari,Polda Sultra,,
Web Test,Loading time (ms),3.34,187,519,122.5367,-4.0245,Kendari,Polda Sultra,,
Web Test,Throughput (Mbps),0.724,0.589,0.4,122.5367,-4.0245,Kendari,Polda Sultra,,
Video Test,Initial Buffering (ms),500,1,0,122.5367,-4.0245,Kendari,Polda Sultra,,
Video Test,Throughput (Mbps),2.15,2.27,2.11,122.5367,-4.0245,Kendari,Polda Sultra,,
